smpls_ID,file_size
CRC001_S12,3470848
CRC002_S13,7853952
CRC004_POLP_S10,5046272
CRC004_S11,3693824
CRC005_S22,6070912
CRC006_S14,8312448
CRC018_S15,7783936
CRC021_S23,6460288
CRC023_S24,9901824
CRC024_S25,16882432
CRC029_S16,5830784
CRC031_S26,3946240
CRC035_S27,5056128
CRC038_S17,14393984
CRC039_S18,4519040
CRC040_S19,3759616
CRC041_S28,7005440
CRC042_S20,9091328
CRC057_S30,6476416
CRC058_S29,6651776
CRC062_S31,6155008
CRC063_S21,7065472
Negative_S32,8320
oCRC001_S1,4545152
oCRC003_S2,3891072
oCRC004_S3,5725952
oCRC005_S4,4989184
oCRC006_S5,5953792
oCRC007_S6,4722688
oCRC008_S7,5651584
oCRC009_S8,5936896
oCRC010_S9,6650368